repo	branch	commit	issue
kireibpm-actorfilter-initiator	release/1.0.0	d00eb73	https://github.com/kireibpm/kireibpm-actorfilter-initiator/issues/1
kireibpm-actorfilter-initiator-manager	release/1.0.0	e53fd79	https://github.com/kireibpm/kireibpm-actorfilter-initiator-manager/issues/10
kireibpm-actorfilter-same-task-user	release/1.0.0	3c65c4d	https://github.com/kireibpm/kireibpm-actorfilter-same-task-user/issues/10
kireibpm-actorfilter-single-user	release/1.0.0	904b4ae	https://github.com/kireibpm/kireibpm-actorfilter-single-user/issues/1
kireibpm-actorfilter-user-manager	release/1.0.0	e171309	https://github.com/kireibpm/kireibpm-actorfilter-user-manager/issues/10
kireibpm-connector-ai	release/1.0.0	cf03ee2	https://github.com/kireibpm/kireibpm-connector-ai/issues/1
kireibpm-connector-cmis	release/1.0.0	962b291	https://github.com/kireibpm/kireibpm-connector-cmis/issues/1
kireibpm-connector-salesforce	release/1.0.0	4a1f5bb	https://github.com/kireibpm/kireibpm-connector-salesforce/issues/1
kireibpm-connector-twitter	release/1.0.0	c9378ce	https://github.com/kireibpm/kireibpm-connector-twitter/issues/1
kireibpm-connector-uipath	release/1.0.0	c9af354	https://github.com/kireibpm/kireibpm-connector-uipath/issues/1
kireibpm-java-client	release/1.0.0	87d0497	https://github.com/kireibpm/kireibpm-java-client/issues/9
kireibpm-process-model	release/1.0.0	a6e1e23	https://github.com/kireibpm/kireibpm-process-model/issues/1
kireibpm-project-maven-plugin	release/1.0.0	a9a4933	https://github.com/kireibpm/kireibpm-project-maven-plugin/issues/7
